buffer,lon,lat,year,TIN,NO3,NH4
10km,-91.8227,36.3710114,2001,502.4248352050781,263.798828125,238.62599182128906
10km,-91.8227,36.3710114,2002,642.8123779296875,317.95501708984375,324.8573913574219
10km,-91.8227,36.3710114,2003,621.01995849609375,302.89892578125,318.1210021972656
10km,-91.8227,36.3710114,2004,499.89324951171875,247.79554748535156,252.09774780273438
10km,-91.8227,36.3710114,2005,437.7904052734375,210.3782196044922,227.41221618652344
10km,-91.8227,36.3710114,2006,679.1412353515625,322.3167724609375,356.8244934082031
10km,-91.8227,36.3710114,2007,452.0981140136719,204.37814331054688,247.7200164794922
10km,-91.8227,36.3710114,2008,611.8360595703125,280.3677978515625,331.4682312011719
10km,-91.8227,36.3710114,2009,604.24957275390625,255.97999572753906,348.26959228515625
10km,-91.8227,36.3710114,2010,380.464111328125,169.34881591796875,211.11529541015625
10km,-91.8227,36.3710114,2011,814.8133544921875,321.13787841796875,493.67547607421875
10km,-91.8227,36.3710114,2012,386.3974304199219,163.02638244628906,223.37106323242188
10km,-91.8227,36.3710114,2013,480.9478454589844,203.5354766845703,277.4123840332031
10km,-91.8227,36.3710114,2014,423.491455078125,170.94203186035156,252.5494384765625
10km,-91.8227,36.3710114,2015,558.07464599609375,218.83328247070312,339.2413330078125
10km,-91.8227,36.3710114,2016,460.0358581542969,188.08103942871094,271.95477294921875
10km,-91.8227,36.3710114,2017,498.4316101074219,188.3502960205078,310.081298828125
10km,-91.8227,36.3710114,2018,467.5331726074219,175.5955047607422,291.9377136230469
10km,-91.8227,36.3710114,2019,631.62286376953125,231.67904663085938,399.9438171386719
10km,-91.8227,36.3710114,2020,509.6495666503906,185.28262329101562,324.366943359375
10km,-91.8717943,32.6909704,1999,629.12054443359375,335.74676513671875,293.3737487792969
10km,-91.8717943,32.6909704,2000,558.32073974609375,297.44952392578125,260.87115478515625
10km,-91.8717943,32.6909704,2001,671.45965576171875,347.74224853515625,323.7174072265625
10km,-91.8717943,32.6909704,2002,585.55596923828125,293.9132385253906,291.64276123046875
10km,-91.8717943,32.6909704,2003,542.79229736328125,245.2119598388672,297.580322265625
10km,-91.8717943,32.6909704,2004,654.95098876953125,336.2817077636719,318.66925048828125
10km,-91.8717943,32.6909704,2005,416.3074951171875,196.45655822753906,219.8509063720703
10km,-91.8717943,32.6909704,2006,619.70855712890625,298.0547790527344,321.65374755859375
10km,-91.8717943,32.6909704,2007,389.4869689941406,182.998779296875,206.48818969726562
